jday,date,month,year,hour,min,sec,speed,direction
176.048611111111,26,6,10,1,10,0,7.513,122.583
176.055555555556,26,6,10,1,20,0,5.678,98.915
176.0625,26,6,10,1,30,0,4.789,98.143
176.069444444444,26,6,10,1,40,0,7.109,93.891
176.076388888889,26,6,10,1,50,0,6.2,103.377
176.083333333333,26,6,10,2,0,0,5.174,105.469
176.090277777778,26,6,10,2,10,0,4.773,97.888
176.097222222222,26,6,10,2,20,0,5.824,107.897
176.104166666667,26,6,10,2,30,0,8.164,97.547
176.111111111111,26,6,10,2,40,0,5.862,119.352
176.118055555556,26,6,10,2,50,0,4.001,116.996
176.125,26,6,10,3,0,0,4.342,91.307
176.131944444444,26,6,10,3,10,0,2.775,69.886
176.138888888889,26,6,10,3,20,0,4.11,77.138
176.145833333333,26,6,10,3,30,0,3.926,71.467
176.152777777778,26,6,10,3,40,0,2.17,79.67
176.159722222222,26,6,10,3,50,0,7.343,79.329
176.166666666667,26,6,10,4,0,0,2.255,85.57
176.173611111111,26,6,10,4,10,0,5.711,103.623
176.180555555556,26,6,10,4,20,0,2.236,117.097
176.1875,26,6,10,4,30,0,3.926,118.37
176.194444444444,26,6,10,4,40,0,5.024,107.808
176.201388888889,26,6,10,4,50,0,6.051,97.741
176.208333333333,26,6,10,5,0,0,4.125,128.584
176.215277777778,26,6,10,5,10,0,4.859,113.868
176.222222222222,26,6,10,5,20,0,7.071,91.528
176.229166666667,26,6,10,5,30,0,5.162,126.939
176.236111111111,26,6,10,5,40,0,5.494,106.107
176.243055555556,26,6,10,5,50,0,5.909,124.827
176.25,26,6,10,6,0,0,8.619,125.498
176.256944444444,26,6,10,6,10,0,9.772,123.83
176.263888888889,26,6,10,6,20,0,9.255,128.03
176.270833333333,26,6,10,6,30,0,9.278,129.395
176.277777777778,26,6,10,6,40,0,9.625,117.508
176.284722222222,26,6,10,6,50,0,9.427,121.252
176.291666666667,26,6,10,7,0,0,11.001,114.283
176.298611111111,26,6,10,7,10,0,10.875,124.741
176.305555555556,26,6,10,7,20,0,9.981,117.203
176.3125,26,6,10,7,30,0,12.135,118.757
176.319444444444,26,6,10,7,40,0,10.782,122.456
176.326388888889,26,6,10,7,50,0,13.528,121.396
176.333333333333,26,6,10,8,0,0,14.553,127.36
176.340277777778,26,6,10,8,10,0,16.315,126.898
176.347222222222,26,6,10,8,20,0,12.385,132.204
176.354166666667,26,6,10,8,30,0,12.787,129.97
176.361111111111,26,6,10,8,40,0,12.917,131.242
176.368055555556,26,6,10,8,50,0,12.677,131.479
176.375,26,6,10,9,0,0,14.236,119.674
176.381944444444,26,6,10,9,10,0,8.485,121.025
176.388888888889,26,6,10,9,20,0,12.288,118.85
176.395833333333,26,6,10,9,30,0,7.607,120.707
176.402777777778,26,6,10,9,40,0,12.645,121.106
176.409722222222,26,6,10,9,50,0,9.534,131.885
176.416666666667,26,6,10,10,0,0,9.91,132.79
176.423611111111,26,6,10,10,10,0,8.846,121.817
176.430555555556,26,6,10,10,20,0,9.467,133.139
176.4375,26,6,10,10,30,0,7.241,141.886
176.444444444444,26,6,10,10,40,0,9.926,126.386
176.451388888889,26,6,10,10,50,0,7.938,127.892
176.458333333333,26,6,10,11,0,0,7.377,135.536
176.465277777778,26,6,10,11,10,0,5.778,118.785
176.472222222222,26,6,10,11,20,0,6.161,114.54
176.479166666667,26,6,10,11,30,0,5.325,111.588
176.486111111111,26,6,10,11,40,0,6.821,108.58
176.493055555556,26,6,10,11,50,0,8.129,123.714
176.5,26,6,10,12,0,0,7.186,105.082
176.506944444444,26,6,10,12,10,0,5.046,100.063
176.513888888889,26,6,10,12,20,0,4.725,78.939
176.520833333333,26,6,10,12,30,0,2.888,102.921
176.527777777778,26,6,10,12,40,0,138.129,106.397
176.534722222222,26,6,10,12,50,0,4.52,76.83
176.541666666667,26,6,10,13,0,0,6.039,43.454
176.548611111111,26,6,10,13,10,0,3.863,50.809
176.555555555556,26,6,10,13,20,0,4.904,9.204
176.5625,26,6,10,13,30,0,5.139,0.189
176.569444444444,26,6,10,13,40,0,4.759,338.841
176.576388888889,26,6,10,13,50,0,3.82,333.322
176.583333333333,26,6,10,14,0,0,6.086,356.587
176.590277777778,26,6,10,14,10,0,6.074,352.347
176.597222222222,26,6,10,14,20,0,10.409,334.022
176.604166666667,26,6,10,14,30,0,11.862,336.426
176.611111111111,26,6,10,14,40,0,12.575,324.135
176.618055555556,26,6,10,14,50,0,10.658,315.888
176.625,26,6,10,15,0,0,9.754,314.179
176.631944444444,26,6,10,15,10,0,11.913,320.907
176.638888888889,26,6,10,15,20,0,12.81,305.222
176.645833333333,26,6,10,15,30,0,12.931,312.192
176.652777777778,26,6,10,15,40,0,11.87,311.869
176.659722222222,26,6,10,15,50,0,13.024,306.705
176.666666666667,26,6,10,16,0,0,14.973,313.373
176.673611111111,26,6,10,16,10,0,14.453,305.755
176.680555555556,26,6,10,16,20,0,15.188,303.271
176.6875,26,6,10,16,30,0,12.516,316.204
176.694444444444,26,6,10,16,40,0,12.151,307.944
176.701388888889,26,6,10,16,50,0,12.073,320.634
176.708333333333,26,6,10,17,0,0,14.254,316.208
176.715277777778,26,6,10,17,10,0,12.819,306.784
176.722222222222,26,6,10,17,20,0,10.204,301.224
176.729166666667,26,6,10,17,30,0,9.791,308.515
176.736111111111,26,6,10,17,40,0,11.495,307.006
176.743055555556,26,6,10,17,50,0,10.247,315.435
176.75,26,6,10,18,0,0,12.869,307.357
176.756944444444,26,6,10,18,10,0,10.471,317.404
176.763888888889,26,6,10,18,20,0,10.67,311.279
176.770833333333,26,6,10,18,30,0,9.777,302.556
176.777777777778,26,6,10,18,40,0,10.461,305.121
176.784722222222,26,6,10,18,50,0,9.363,307.616
176.791666666667,26,6,10,19,0,0,7.038,307.271
176.798611111111,26,6,10,19,10,0,8.805,311.379
176.805555555556,26,6,10,19,20,0,9.355,309.775
176.8125,26,6,10,19,30,0,8.105,310.889
176.819444444444,26,6,10,19,40,0,5.861,305.651
176.826388888889,26,6,10,19,50,0,8.055,319.168
176.833333333333,26,6,10,20,0,0,6.93,311.069
176.840277777778,26,6,10,20,10,0,8.684,309.969
176.847222222222,26,6,10,20,20,0,8.734,312.898
176.854166666667,26,6,10,20,30,0,4.379,296.852
176.861111111111,26,6,10,20,40,0,5.902,313.184
176.868055555556,26,6,10,20,50,0,7.039,349.458
176.875,26,6,10,21,0,0,7.485,336.889
176.881944444444,26,6,10,21,10,0,4.645,328.805
176.888888888889,26,6,10,21,20,0,7.047,343.988
176.895833333333,26,6,10,21,30,0,6.838,347.381
176.902777777778,26,6,10,21,40,0,1.575,14.655
176.909722222222,26,6,10,21,50,0,6.76,319.407
176.916666666667,26,6,10,22,0,0,4.885,345.643
176.923611111111,26,6,10,22,10,0,4.001,332.025
176.930555555556,26,6,10,22,20,0,6.262,343.139
176.9375,26,6,10,22,30,0,4.642,333.05
176.944444444444,26,6,10,22,40,0,3.388,13.051
176.951388888889,26,6,10,22,50,0,4.841,357.6
176.958333333333,26,6,10,23,0,0,4.664,354.086
176.965277777778,26,6,10,23,10,0,3.926,15.953
176.972222222222,26,6,10,23,20,0,3.608,6.199
176.979166666667,26,6,10,23,30,0,2.725,346.875
176.986111111111,26,6,10,23,40,0,4.584,13.87
176.993055555556,26,6,10,23,50,0,2.561,20.129
177,27,6,10,0,0,0,4.629,357.493
177.006944444444,27,6,10,0,10,0,7.033,15.453
177.013888888889,27,6,10,0,20,0,8.538,17.996
177.020833333333,27,6,10,0,30,0,7.92,353.896
177.027777777778,27,6,10,0,40,0,8.57,339.159
177.034722222222,27,6,10,0,50,0,8.021,345.351
177.041666666667,27,6,10,1,0,0,9.186,344.786
177.048611111111,27,6,10,1,10,0,10.001,357.152
177.055555555556,27,6,10,1,20,0,11.222,346.943
177.0625,27,6,10,1,30,0,8.137,340.512
177.069444444444,27,6,10,1,40,0,7.565,348.948
177.076388888889,27,6,10,1,50,0,9.827,343.209
177.083333333333,27,6,10,2,0,0,5.993,333.698
177.090277777778,27,6,10,2,10,0,8.837,343.951
177.097222222222,27,6,10,2,20,0,8.507,332.037
177.104166666667,27,6,10,2,30,0,8.281,342.111
177.111111111111,27,6,10,2,40,0,9.183,332.811
177.118055555556,27,6,10,2,50,0,9.466,316.443
177.125,27,6,10,3,0,0,6.67,334.4
177.131944444444,27,6,10,3,10,0,7.998,321.312
177.138888888889,27,6,10,3,20,0,6.095,322.965
177.145833333333,27,6,10,3,30,0,7.544,314.995
177.152777777778,27,6,10,3,40,0,6.785,329.554
177.159722222222,27,6,10,3,50,0,4.698,294.209
177.166666666667,27,6,10,4,0,0,5.294,315.67
177.173611111111,27,6,10,4,10,0,4.639,329.632
177.180555555556,27,6,10,4,20,0,6.242,314.713
177.1875,27,6,10,4,30,0,4.297,283.394
177.194444444444,27,6,10,4,40,0,4.241,262.671
177.201388888889,27,6,10,4,50,0,2.653,271.397
177.208333333333,27,6,10,5,0,0,2.429,223.546
177.215277777778,27,6,10,5,10,0,2.221,267.177
177.222222222222,27,6,10,5,20,0,3.106,231.497
177.229166666667,27,6,10,5,30,0,3.152,215.857
177.236111111111,27,6,10,5,40,0,3.142,221.539
177.243055555556,27,6,10,5,50,0,3.88,188.926
177.25,27,6,10,6,0,0,4.931,207.879
177.256944444444,27,6,10,6,10,0,3.982,199.081
177.263888888889,27,6,10,6,20,0,2.915,163.867
177.270833333333,27,6,10,6,30,0,2.796,192.804
177.277777777778,27,6,10,6,40,0,4.01,162.966
177.284722222222,27,6,10,6,50,0,4.31,130.678
177.291666666667,27,6,10,7,0,0,3.889,129.722
177.298611111111,27,6,10,7,10,0,4.927,127.716
177.305555555556,27,6,10,7,20,0,7.179,124.428
177.3125,27,6,10,7,30,0,7.656,141.235
177.319444444444,27,6,10,7,40,0,8.174,137.609
177.326388888889,27,6,10,7,50,0,7.754,135.134
177.333333333333,27,6,10,8,0,0,7.324,139.659
177.340277777778,27,6,10,8,10,0,9.573,140.504
177.347222222222,27,6,10,8,20,0,10.678,128.442
177.354166666667,27,6,10,8,30,0,10.258,116.659
177.361111111111,27,6,10,8,40,0,10.344,122.103
177.368055555556,27,6,10,8,50,0,11.637,130.054
177.375,27,6,10,9,0,0,12.057,128.149
177.381944444444,27,6,10,9,10,0,11.626,125.256
177.388888888889,27,6,10,9,20,0,11.129,125.182
